id,spelling,char_set_str
2369,incentive,ceintv
2370,inch,chin
2371,incidence,cdein
2372,incident,cdeint
2373,incidentally,acdeilnty
2374,incline,ceiln
2375,include,cdeilnu
2376,inclusive,ceilnsuv
2377,income,ceimno
2378,incorporate,aceinoprt
2379,increase,aceinrs
2380,increasingly,acegilnrsy
2381,incredible,bcdeilnr
2382,incur,cinru
2383,indeed,dein
2384,independence,cdeinp
2385,independent,deinpt
2386,index,deinx
2387,indicate,acdeint
2388,indication,acdinot
2389,indicative,acdeintv
2390,indifferent,definrt
2391,indignant,adgint
2392,indignation,adginot
2393,indispensable,abdeilnps
2394,individual,adilnuv
2395,indoor,dinor
2396,induce,cdeinu
2397,indulge,degilnu
2398,industrial,adilnrstu
2399,industrialize,adeilnrstuz
2400,industry,dinrstuy
2401,inertia,aeinrt
2402,inevitable,abeilntv
2403,infant,afint
2404,infect,cefint
2405,infectious,cefinostu
2406,infer,efinr
2407,inference,cefinr
2408,inferior,efinor
2409,infinite,efint
2410,inflation,afilnot
2411,influence,cefilnu
2412,influential,aefilntu
2413,inform,fimnor
2414,information,afimnort
2415,infrared,adefinr
2416,infrastructure,acefinrstu
2417,ingenious,eginosu
2418,ingredient,deginrt
2419,inhabit,abhint
2420,inhabitant,abhint
2421,inhale,aehiln
2422,inherent,ehinrt
2423,inherit,ehinrt
2424,inhibit,bhint
2425,initial,ailnt
2426,initiate,aeint
2427,initiative,aeintv
2428,inject,ceijnt
2429,injure,eijnru
2430,injury,ijnruy
2431,ink,ikn
2432,inland,adiln
2433,inlet,eilnt
2434,inn,in
2435,inner,einr
2436,innocent,ceinot
2437,innovation,ainotv
2438,innumerable,abeilmnru
2439,input,inptu
2440,inquiry,inqruy
2441,insect,ceinst
2442,insert,einrst
2443,inside,deins
2444,insight,ghinst
2445,insist,inst
2446,inspect,ceinpst
2447,inspiration,ainoprst
2448,inspire,einprs
2449,install,ailnst
2450,installation,ailnost
2451,installment,aeilmnst
2452,instance,aceinst
2453,instant,ainst
2454,instantaneous,aeinostu
2455,instead,adeinst
2456,instinct,cinst
2457,institute,einstu
2458,institution,inostu
2459,instruct,cinrstu
2460,instruction,cinorstu
2461,instrument,eimnrstu
2462,instrumental,aeilmnrstu
2463,insulate,aeilnstu
2464,insult,ilnstu
2465,insurance,aceinrsu
2466,insure,einrsu
2467,intact,acint
2468,integral,aegilnrt
2469,integrate,aeginrt
2470,integrity,eginrty
2471,intellectual,aceilntu
2472,intelligence,cegilnt
2473,intelligent,egilnt
2474,intelligible,begilnt
2475,intend,deint
2476,intense,einst
2477,intensity,einsty
2478,intensive,einstv
2479,intention,einot
2480,interact,aceinrt
2481,intercourse,ceinorstu
2482,interest,einrst
2483,interesting,eginrst
2484,interface,acefinrt
2485,interfere,efinrt
2486,interference,cefinrt
2487,interim,eimnrt
2488,interior,einort
2489,intermediate,adeimnrt
2490,intermittent,eimnrt
2491,internal,aeilnrt
2492,international,aeilnort
2493,interpret,einprt
2494,interrupt,einprtu
2495,intersection,ceinorst
2496,interval,aeilnrtv
2497,intervene,einrtv
2498,interview,einrtvw
2499,intimate,aeimnt
2500,intimidate,adeimnt
2501,into,inot
2502,intricate,aceinrt
2503,intrigue,eginrtu
2504,intrinsic,cinrst
2505,introduce,cdeinortu
2506,introduction,cdinortu
2507,intrude,deinrtu
2508,intuition,inotu
2509,invade,adeinv
2510,invalid,adilnv
2511,invaluable,abeilnuv
2512,invariably,abilnrvy
2513,invasion,ainosv
2514,invent,eintv
2515,invention,einotv
2516,inventory,einortvy
2517,inverse,einrsv
2518,invert,einrtv
2519,invest,einstv
2520,investigate,aeginstv
2521,investment,eimnstv
2522,invisible,beilnsv
2523,invitation,ainotv
2524,invite,eintv
2525,involve,eilnov
2526,inward,adinrw
2527,iron,inor
2528,irony,inory
2529,irrespective,ceiprstv
2530,irrigate,aegirt
2531,irritate,aeirt
2532,island,adilns
2533,isle,eils
2534,isolate,aeilost
2535,issue,eisu
2536,item,eimt
2537,its,ist
2538,itself,efilst
2539,jacket,acejkt
2540,jam,ajm
2541,jar,ajr
2542,jargon,agjnor
2543,jaw,ajw
2544,jazz,ajz
2545,jealous,aejlosu
2546,jeans,aejns
2547,jet,ejt
2548,jewel,ejlw
2549,jewllery,ejlrwy
2550,job,bjo
2551,jog,gjo
2552,join,ijno
2553,joint,ijnot
2554,joke,ejko
2555,jolly,jloy
2556,journal,ajlnoru
2557,journalist,aijlnorstu
2558,journey,ejnoruy
2559,joy,joy
2560,judge,degju
2561,judgement,degjmntu
2562,judicial,acdijlu
2563,jug,gju
2564,jump,jmpu
2565,junction,cijnotu
2566,jungle,egjlnu
2567,junior,ijnoru
2568,junk,jknu
2569,jury , jruy
2570,just,jstu
2571,justice,ceijstu
2572,justify,fijstuy
2573,juvenile,eijlnuv
2574,keen,ekn
2575,keep,ekp
2576,kettle,eklt
2577,key,eky
2578,keyboard,abdekory
2579,kick,cik
2580,kid,dik
2581,kidnap,adiknp
2582,kidney,deikny
2583,kill,ikl
2584,kilo , iklo
2585,kilometre,eiklmort
2586,kin,ikn
2587,kind,dikn
2588,kindergarten,adegiknrt
2589,kindness,deikns
2590,king,gikn
2591,kingdom,dgikmno
2592,kiss,iks
2593,kit,ikt
2594,kitchen,cehiknt
2595,kite,eikt
2596,knee,ekn
2597,kneel,ekln
2598,knife,efikn
2599,knit,iknt
2600,knob,bkno
2601,knock,ckno
2602,knot,knot
2603,know,know
2604,knowledge,degklnow
2605,lab,abl
2606,label,abel
2607,labor,ablor
2608,lace,acel
2609,lack,ackl
2610,lad,adl
2611,ladder,adelr
2612,lady,adly
2613,lag,agl
2614,lake,aekl
2615,lamb,ablm
2616,lame,aelm
2617,lamp,almp
2618,land,adln
2619,landlady,adlny
2620,landlord,adlnor
2621,lane,aeln
2622,language,aeglnu
2623,lantern,aelnrt
2624,lap,alp
2625,lapse,aelps
2626,laptop,alopt
2627,largely,aeglry
2628,laser,aelrs
2629,lash,ahls
2630,last,alst
2631,late,aelt
2632,lately,aelty
2633,latent,aelnt
2634,later,aelrt
2635,lateral,aelrt
2636,Latin,Laint
2637,latitude,adeiltu
2638,latter,aelrt
2639,laugh,aghlu
2640,laughter,aeghlrtu
2641,launch,achlnu
2642,laundry,adlnruy
2643,lavatory,alortvy
2644,law,alw
2645,lawn,alnw
2646,lawyer,aelrwy
2647,lay,aly
2648,layer,aelry
2649,layman,almny
2650,layoff,afloy
2651,layout,alotuy
2652,lazy,alyz
2653,lead,adel
2654,leadership,adehilprs
2655,leading,adegiln
2656,leaf,aefl
2657,leaflet,aeflt
2658,league,aeglu
2659,leak,aekl
2660,lean,aeln
2661,leap,aelp
2662,learn,aelnr
2663,learned,adelnr
2664,learning,aegilnr
2665,lease,aels
2666,least,aelst
2667,leather,aehlrt
2668,leave,aelv
2669,lecture,celrtu
2670,left,eflt
2671,leg,egl
2672,legacy,acegly
2673,legal,aegl
2674,legend,degln
2675,legislation,aegilnost
2676,legitimate,aegilmt
2677,leisure,eilrsu
2678,lemon,elmno
2679,lend,deln
2680,length,eghlnt
2681,lens,elns
2682,less,els
2683,lest,elst
2684,let,elt
2685,letter,elrt
2686,level,elv
2687,lever,elrv
2688,levy,elvy
2689,liability,abilty
2690,liable,abeil
2691,liberal,abeilr
2692,liberate,abeilrt
2693,liberty,beilrty
2694,librarian,abilnr
2695,library,abilry
2696,license,ceilns
2697,lick,cikl
2698,lid,dil
2699,lie,eil
2700,life,efil
2701,lifetime,efilmt
2702,lift,filt
2703,light,ghilt
2704,lightning,ghilnt
2705,likelihood,dehiklo
2706,likely,eikly
2707,likewise,eiklsw
2708,limb,bilm
2709,limit,ilmt
2710,limitation,ailmnot
2711,limited,deilmt
2712,limp,ilmp
2713,line,eiln
2714,linear,aeilnr
2715,linen,eiln
2716,liner,eilnr
2717,linger,egilnr
2718,linguistic,cgilnstu
2719,link,ikln
2720,lion,ilno
2721,lip,ilp
2722,liquid,dilqu
2723,liquor,iloqru
2724,list,ilst
2725,listen,eilnst
2726,literacy,aceilrty
2727,literally,aeilrty
2728,literary,aeilrty
2729,literature,aeilrtu
2730,litre,eilrt
2731,litter,eilrt
2732,little,eilt
2733,live,eilv
2734,lively,eilvy
2735,liver,eilrv
2736,living,gilnv
2737,living-room,-gilmnorv
2738,load,adlo
2739,loaf,aflo
2740,loan,alno
2741,lobby,bloy
2742,local,aclo
2743,locality,aciloty
2744,locate,acelot
2745,location,acilnot
2746,lock,cklo
2747,locker,ceklor
2748,locomotive,ceilmotv
2749,lodge,deglo
2750,lofty,floty
2751,log,glo
2752,logic,cgilo
2753,logical,acgilo
2754,lonely,elnoy
2755,long,glno
2756,longitude,degilnotu
2757,look,klo
2758,loom,lmo
2759,loop,lop
2760,loose,elos
2761,loosen,elnos
2762,lord,dlor
2763,lorry,lory
2764,lose,elos
2765,loss,los
2766,lot,lot
2767,lottery,elorty
2768,loud,dlou
2769,loudspeaker,adekloprsu
2770,lounge,eglnou
2771,love,elov
2772,lovely,elovy
2773,lover,elorv
2774,low,low
2775,lower,elorw
2776,loyal,aloy
2777,loyalty,aloty
2778,lubricate,abceilrtu
2779,luck,cklu
2780,lucky,ckluy
2781,luggage,aeglu
2782,lumber,belmru
2783,lump,lmpu
2784,lunar,alnru
2785,lunch,chlnu
2786,lung,glnu
2787,lure,elru
2788,luxury,lruxy
2789,machine,acehimn
2790,machinery,acehimnry
2791,mad,adm
2792,magazine,aegimnz
2793,magic,acgim
2794,magistrate,aegimrst
2795,magnet,aegmnt
2796,magnetic,acegimnt
2797,magnificent,acefgimnt
2798,magnify,afgimny
2799,magnitude,adegimntu
2800,maid,adim
2801,maiden,adeimn
2802,mail,ailm
2803,main,aimn
2804,mainland,adilmn
2805,maintain,aimnt
2806,maintenance,aceimnt
2807,majesty,aejmsty
2808,major,ajmor
2809,majority,aijmorty
2810,make,aekm
2811,male,aelm
2812,malignant,agilmnt
2813,mammal,alm
2814,manage,aegmn
2815,management,aegmnt
2816,maneuver,aemnruv
2817,manifest,aefimnst
2818,manipulate,aeilmnptu
2819,mankind,adikmn
2820,manner,aemnr
2821,manual,almnu
2822,manufacture,acefmnrtu
2823,manuscript,acimnprstu
2824,many,amny
2825,map,amp
2826,marble,abelmr
2827,march,achmr
2828,March,Machr
2829,margin,agimnr
2830,marginal,agilmnr
2831,marine,aeimnr
2832,marital,ailmrt
2833,mark,akmr
2834,market,aekmrt
2835,marriage,aegimr
2836,married,adeimr
2837,marry,amry
2838,marvelous,aelmorsuv
2839,Marxist , Mairstx
2840,masculine,aceilmnsu
2841,mask,akms
2842,mass,ams
2843,massacre,acemrs
2844,massive,aeimsv
2845,master,aemrst
2846,masterpiece,aceimprst
2847,mat,amt
2848,match,achmt
2849,mate,aemt
2850,material,aeilmrt
2851,mathematical,acehilmt
2852,maths,ahmst
2853,matter,aemrt
2854,mature,aemrtu
2855,maximum,aimux
2856,may,amy
2857,mayor,amory
2858,me,em
2859,meadow,ademow
2860,meal,aelm
2861,mean,aemn
2862,meaning,aegimn
2863,means,aemns
2864,meantime,aeimnt
2865,meanwhile,aehilmnw
2866,measure,aemrsu
2867,meat,aemt
2868,mechanic,acehimn
2869,mechanical,acehilmn
2870,mechanism,acehimns
2871,medal,adelm
2872,medical,acdeilm
2873,medicine,cdeimn
2874,medieval,adeilmv
2875,meditate,adeimt
2876,meditation,adeimnot
2877,medium,deimu
2878,meet,emt
2879,meeting,egimnt
2880,melody,delmoy
2881,melon,elmno
2882,melt,elmt
2883,member,bemr
2884,membership,behimprs
2885,memo,emo
2886,memorial,aeilmor
2887,memory,emory
2888,menace,acemn
2889,mend,demn
2890,mental,aelmnt
2891,mention,eimnot
2892,menu,emnu
2893,merchandise,acdehimnrs
2894,merchant,acehmnrt
2895,mercury,cemruy
2896,mercy,cemry
2897,mere,emr
2898,merely,elmry
2899,merge,egmr
2900,merit,eimrt
2901,merry,emry
2902,mess,ems
2903,message,aegms
2904,messenger,egmnrs
2905,metal,aelmt
2906,metaphor,aehmoprt
2907,method,dehmot
2908,metre,emrt
2909,metric,ceimrt
2910,metropolitan,aeilmnoprt
2911,microphone,cehimnopr
2912,microscope,ceimoprs
2913,middle,deilm
2914,midst,dimst
2915,might,ghimt
2916,migrate,aegimrt
2917,mild,dilm
2918,mile,eilm
2919,militant,ailmnt
2920,military,ailmrty
2921,milk,iklm
2922,mill,ilm
2923,millimeter,eilmrt
2924,million,ilmno
2925,millionaire,aeilmnor
2926,mind,dimn
2927,mine,eimn
2928,mineral,aeilmnr
2929,mingle,egilmn
2930,miniature,aeimnrtu
2931,minimize,eimnz
2932,minimum,imnu
2933,minister,eimnrst
2934,ministry,imnrsty
2935,minor,imnor
2936,minority,imnorty
2937,minus,imnsu
2938,minute,eimntu
2939,miracle,aceilmr
2940,mirror,imor
2941,mischief,cefhims
2942,miserable,abeilmrs
2943,misery,eimrsy
2944,misfortune,efimnorstu
2945,mislead,adeilms
2946,miss,ims
2947,missile,eilms
2948,missing,gimns
2949,mission,imnos
2950,missionary,aimnorsy
2951,mist,imst
2952,mistake,aeikmst
2953,mistress,eimrst
2954,misunderstand,adeimnrstu
2955,mix,imx
2956,mixture,eimrtux
2957,moan,amno
2958,mob,bmo
2959,mobile,beilmo
2960,mobilize,beilmoz
2961,mock,ckmo
2962,mode,demo
2963,model,delmo
2964,moderate,ademort
2965,modern,demnor
2966,modernization,adeimnortz
2967,modest,demost
2968,modify,dfimoy
2969,module,delmou
2970,moist,imost
2971,moisture,eimorstu
2972,molecule,celmou
2973,momentum,emnotu
2974,monarch,achmnor
2975,monetary,aemnorty
2976,money,emnoy
2977,monitor,imnort
2978,monopoly,lmnopy
2979,monotonous,mnostu
2980,monster,emnorst
2981,month,hmnot
2982,monthly,hlmnoty
2983,monument,emnotu
2984,mood,dmo
2985,moon,mno
2986,moral,almor
2987,morality,ailmorty
2988,more,emor
2989,moreover,emorv
2990,morning,gimnor
2991,mortal,almort
2992,mortgage,aegmort
2993,mosaic,acimos
2994,mosquito,imoqstu
2995,moss,mos
2996,most,most
2997,mostly,lmosty
2998,motel,elmot
2999,mother,ehmort
3000,motion,imnot
3001,motivate,aeimotv
3002,motive,eimotv
3003,motor,mort
3004,mould,dlmou
3005,mount,mnotu
3006,mountain,aimnotu
3007,mourn,mnoru
3008,mouse,emosu
3009,move,emov
3010,movement,emnotv
3011,movie,eimov
3012,much,chmu
3013,mud,dmu
3014,mug,gmu
3015,multiple,eilmptu
3016,multiply,ilmptuy
3017,multitude,deilmtu
3018,municipal,acilmnpu
3019,murder,demru
3020,murmur,mru
3021,muscle,celmsu
3022,muscular,aclmrsu
3023,museum,emsu
3024,mushroom,hmorsu
3025,music,cimsu
3026,musical,acilmsu
3027,musician,acimnsu
3028,must,mstu
3029,mute,emtu
3030,mutter,emrtu
3031,mutton,mnotu
3032,mutual,almtu
3033,my,my
3034,myself,eflmsy
3035,mysterious,eimorstuy
3036,mystery,emrsty
3037,myth,hmty
3038,nail,ailn
3039,naive,aeinv
3040,naked,adekn
3041,name,aemn
3042,namely,aelmny
3043,nap,anp
3044,napkin,aiknp
3045,narrative,aeinrtv
3046,narrow,anorw
3047,nasty,ansty
3048,nation,ainot
3049,national,ailnot
3050,nationality,ailnoty
3051,native,aeintv
3052,natural,alnrtu
3053,nature,aenrtu
3054,naughty,aghntuy
3055,naval,alnv
3056,navigation,aginotv
3057,navy,anvy
3058,near,aenr
3059,nearby,abenry
3060,nearly,aelnry
3061,neat,aent
3062,necessary,acenrsy
3063,necessitate,aceinst
3064,necessity,ceinsty
3065,neck,cekn
3066,necklace,acekln
3067,need,den
3068,needle,deln
3069,negative,aegintv
3070,neglect,ceglnt
3071,negligible,begiln
3072,negotiate,aeginot
3073,Negro,Negor
3074,neighbor,beghinor
3075,neighborhood,bdeghinor
3076,neither,ehinrt
3077,nephew,ehnpw
3078,nerve,enrv
3079,nervous,enorsuv
3080,nest,enst
3081,net,ent
3082,network,eknortw
3083,neutral,aelnrtu
3084,never,enrv
3085,nevertheless,ehlnrstv
3086,new,enw
3087,news,ensw
3088,next,entx
3089,nice,cein
3090,nickel,ceikln
3091,nickname,aceikmn
3092,niece,cein
3093,night,ghint
3094,nightmare,aeghimnrt
3095,nitrogen,eginort
3096,no,no
3097,noble,belno
3098,nobody,bdnoy
3099,nod,dno
3100,noise,einos
3101,noisy,inosy
3102,nominal,ailmno
3103,nominate,aeimnot
3104,none,eno
3105,nonetheless,ehlnost
3106,nonsense,enos
3107,noodle,delno
3108,noon,no
3109,nor,nor
3110,norm,mnor
3111,normal,almnor
3112,normalization,ailmnortz
3113,north,hnort
3114,northeast,aehnorst
3115,northern,ehnort
3116,northwest,ehnorstw
3117,nose,enos
3118,not,not
3119,notable,abelnot
3120,note,enot
3121,notebook,beknot
3122,nothing,ghinot
3123,notice,ceinot
3124,noticeable,abceilnot
3125,notify,finoty
3126,notion,inot
3127,notorious,inorstu
3128,notwithstanding,adghinostw
3129,noun,nou
3130,nourish,hinorsu
3131,novel,elnov
3132,novelty,elnotvy
3133,now,now
3134,nowadays,adnoswy
3135,nowhere,ehnorw
3136,nuclear,acelnru
3137,nucleus,celnsu
3138,nuisance,aceinsu
3139,numb,bmnu
3140,number,bemnru
3141,numerical,aceilmnru
3142,numerous,emnorsu
3143,nurse,enrsu
3144,nursery,enrsuy
3145,nurture,enrtu
3146,nut,ntu
3147,nutrition,inortu
3148,nylon,lnoy
3149,oak,ako
3150,oar,aor
3151,oath,ahot
3152,obedience,bcdeino
3153,obedient,bdeinot
3154,obey,beoy
3155,object,bcejot
3156,objection,bceijnot
3157,objective,bceijotv
3158,obligation,abgilnot
3159,oblige,begilo
3160,obscure,bceorsu
3161,observation,abeinorstv
3162,observe,beorsv
3163,obsession,beinos
3164,obsolete,belost
3165,obstacle,abcelost
3166,obstruct,bcorstu
3167,obstruction,bcinorstu
3168,obtain,abinot
3169,obvious,biosuv
3170,occasion,acinos
3171,occasional,acilnos
3172,occupation,acinoptu
3173,occupy,copuy
3174,occur,coru
3175,occurrence,cenoru
3176,ocean,aceno
3177,o'clock,'cklo
3178,odd,do
3179,odds,dos
3180,odor,dor
3181,of,fo
3182,off,fo
3183,offend,defno
3184,offensive,efinosv
3185,offer,efor
3186,office,cefio
3187,officer,cefior
3188,official,acfilo
3189,offset,efost
3190,offspring,fginoprs
3191,often,efnot
3192,oil,ilo
3193,okay,akoy
3194,old,dlo
3195,omit , imot
3196,one,eno
3197,oneself,eflnos
3198,onion,ino
3199,only,lnoy
3200,onto,not
3201,opaque,aeopqu
3202,open,enop
3203,opening,eginop
3204,opera,aeopr
3205,operate,aeoprt
3206,operation,aeinoprt
3207,operational,aeilnoprt
3208,operator,aeoprt
3209,opinion , inop
3210,opponent,enopt
3211,opportunity,inoprtuy
3212,oppose,eops
3213,opposite,eiopst
3214,oppress,eoprs
3215,opt,opt
3216,optical,acilopt
3217,optimistic,cimopst
3218,optimum,imoptu
3219,option,inopt
3220,optional,ailnopt
3221,oral,alor
3222,orange,aegnor
3223,orbit,biort
3224,orchard,acdhor
3225,orchestra,acehorst
3226,order,deor
3227,orderly,delory
3228,ordinary,adinory
3229,ore,eor
3230,organ,agnor
3231,organic,acginor
3232,organism,agimnors
3233,organization , aginortz
3234,organize,aeginorz
3235,orient,einort
3236,oriental,aeilnort
3237,orientation,aeinort
3238,origin,ginor
3239,original,agilnor
3240,originate,aeginort
3241,ornament,aemnort
3242,orphan,ahnopr
3243,orthodox,dhortx
3244,otherwise,ehiorstw
3245,ought,ghotu
3246,ounce,cenou
3247,our,oru
3248,ours,orsu
3249,ourselves,elorsuv
3250,out,otu
3251,outbreak,abekortu
3252,outcome,cemotu
3253,outdoor,dortu
3254,outer,eortu
3255,outfit,fiotu
3256,outing,ginotu
3257,outlet,elotu
3258,outline,eilnotu
3259,outlook,klotu
3260,output,optu
3261,outrage,aegortu
3262,outset,eostu
3263,outside,deiostu
3264,outskirts,ikorstu
3265,outstanding , adginostu
3266,outward,adortuw
3267,oval,alov
3268,oven,enov
3269,over,eorv
3270,overall,aelorv
3271,overcoat,aceortv
3272,overcome,cemorv
3273,overflow,eflorvw
3274,overhead,adehorv
3275,overhear,aehorv
3276,overlap,aeloprv
3277,overlook,eklorv
3278,overnight,eghinortv
3279,overpass,aeoprsv
3280,overseas,aeorsv
3281,overtake,aekortv
3282,overthrow,ehortvw
3283,overtime,eimortv
3284,overturn,enortuv
3285,overwhelm,ehlmorvw
3286,overwhelming,eghilmnorvw
3287,owe,eow
3288,owing,ginow
3289,owl,low
3290,own,now
3291,owner,enorw
3292,ownership,ehinoprsw
3293,ox,ox
3294,oxide,deiox
3295,oxygen,egnoxy
3296,ozone,enoz
3297,pace,acep
3298,pack,ackp
3299,package,acegkp
3300,packet,acekpt
3301,pact,acpt
3302,pad,adp
3303,paddle,adelp
3304,page,aegp
3305,pail,ailp
3306,pain,ainp
3307,painful,afilnpu
3308,paint,ainpt
3309,painter,aeinprt
3310,painting,aginpt
3311,pair,aipr
3312,palace,acelp
3313,pale,aelp
3314,palm,almp
3315,pamphlet,aehlmpt
3316,pan,anp
3317,panda,adnp
3318,panel,aelnp
3319,panic,acinp
3320,panorama,amnopr
3321,pant,anpt
3322,pants,anpst
3323,paper,aepr
3324,paperback,abcekpr
3325,parachute,acehprtu
3326,parade,adepr
3327,paradigm,adgimpr
3328,paradox,adoprx
3329,paragraph,aghpr
3330,parallel,aelpr
3331,paralyze,aelpryz
3332,parameter,aemprt
3333,parasite,aeiprst
3334,parcel,acelpr
3335,pardon,adnopr
3336,parent,aenprt
3337,park,akpr
3338,parliament,aeilmnprt
3339,part,aprt
3340,partial,ailprt
3341,participant,acinprt
3342,participate,aceiprt
3343,particle,aceilprt
3344,particular,acilprtu
3345,partly,alprty
3346,partner,aenprt
3347,party,aprty
3348,pass,aps
3349,passage,aegps
3350,passenger,aegnprs
3351,passer-by,-abeprsy
3352,passion,ainops
3353,passive,aeipsv
3354,passport,aoprst
3355,past,apst
3356,paste,aepst
3357,pastime,aeimpst
3358,pasture,aeprstu
3359,pat,apt
3360,patch,achpt
3361,patent,aenpt
3362,path,ahpt
3363,pathetic,acehipt
3364,patience,aceinpt
3365,patient,aeinpt
3366,patriotic,acioprt
3367,patrol,aloprt
3368,patron,anoprt
3369,pattern,aenprt
3370,pause,aepsu
3371,pave,aepv
3372,pavement,aemnptv
3373,paw,apw
3374,pay,apy
3375,payment,aemnpty
3376,pea,aep
3377,peace,acep
3378,peaceful,aceflpu
3379,peach,acehp
3380,peak,aekp
3381,peanut,aenptu
3382,pear,aepr
3383,pearl,aelpr
3384,peasant,aenpst
3385,pebble,belp
3386,peculiar,aceilpru
3387,pedal,adelp
3388,pedestrian,adeinprst
3389,peel,elp
3390,peep,ep
3391,peer,epr
3392,pen,enp
3393,penalty,aelnpty
3394,pencil,ceilnp
3395,pendulum,delmnpu
3396,penetrate,aenprt
3397,peninsula,aeilnpsu
3398,penny,enpy
3399,pension,einops
3400,people,elop
3401,pepper,epr
3402,per,epr
3403,perceive,ceiprv
3404,percent,cenprt
3405,percentage,acegnprt
3406,perfect,cefprt
3407,perfection,cefinoprt
3408,perform,efmopr
3409,performance,acefmnopr
3410,perfume,efmpru
3411,perhaps,aehprs
3412,period,deiopr
3413,periodical,acdeilopr
3414,perish,ehiprs
3415,permanent,aemnprt
3416,permeate,aemprt
3417,permission,eimnoprs
3418,permit,eimprt
3419,perpetual,aelprtu
3420,perplex,elprx
3421,persecute,ceprstu
3422,persevere,eprsv
3423,persist,eiprst
3424,person,enoprs
3425,personal,aelnoprs
3426,personality,aeilnoprsty
3427,personnel,elnoprs
3428,perspective,ceiprstv
3429,persuade,adeprsu
3430,persuasion,aeinoprsu
3431,pessimistic,ceimpst
3432,pest,epst
3433,pet,ept
3434,petition,einopt
3435,petrol,eloprt
3436,petroleum,elmoprtu
3437,petty,epty
3438,pharmacy,achmpry
3439,phase,aehps
3440,phenomenon,ehmnop
3441,philosopher,ehiloprs
3442,philosophy,hilopsy
3443,phone,ehnop
3444,photo,hopt
3445,phrase,aehprs
3446,physical,achilpsy
3447,physician,achinpsy
3448,physicist,chipsty
3449,physics,chipsy
3450,physiological,acghilopsy
3451,piano,ainop
3452,pick,cikp
3453,pickup,cikpu
3454,picnic,cinp
3455,picture,ceiprtu
3456,pie,eip
3457,piece,ceip
3458,pierce,ceipr
3459,pig,gip
3460,pigeon,eginop
3461,pile,eilp
3462,pilgrim,gilmpr
3463,pill,ilp
3464,pillar,ailpr
3465,pillow,ilopw
3466,pilot,ilopt
3467,pin,inp
3468,pinch,chinp
3469,pine,einp
3470,pink,iknp
3471,pint,inpt
3472,pioneer,einopr
3473,pipe,eip
3474,pirate,aeiprt
3475,pistol,ilopst
3476,piston,inopst
3477,pit,ipt
3478,pitch,chipt
3479,pity,ipty
3480,place,acelp
3481,plague,aeglpu
3482,plain,ailnp
3483,plan,alnp
3484,plane,aelnp
3485,planet,aelnpt
3486,plant,alnpt
3487,plantation,ailnopt
3488,plaster,aelprst
3489,plastic,acilpst
3490,plate,aelpt
3491,plateau,aelptu
3492,platform,aflmoprt
3493,plausible,abeilpsu
3494,play,alpy
3495,playground,adglnopruy
3496,plea,aelp
3497,plead,adelp
3498,pleasant,aelnpst
3499,please,aelps
3500,pleasure,aelprsu
3501,pledge,deglp
3502,plentiful,efilnptu
3503,plenty,elnpty
3504,plight,ghilpt
3505,plot,lopt
3506,plough,ghlopu
3507,plug,glpu
3508,plumber,belmpru
3509,plunge,eglnpu
3510,plural,alpru
3511,plus,lpsu
3512,pneumonia,aeimnopu
3513,pocket,cekopt
3514,poem,emop
3515,poet,eopt
3516,poetry,eoprty
3517,point,inopt
3518,poison,inops
3519,poisonous,inopsu
3520,poke,ekop
3521,polar,alopr
3522,pole,elop
3523,police,ceilop
3524,policeman,aceilmnop
3525,policy,cilopy
3526,polish,hilops
3527,polite,eilopt
3528,political,acilopt
3529,politician,acilnopt
3530,politics,cilopst
3531,poll,lop
3532,pollute,eloptu
3533,pollution,ilnoptu
3534,pond,dnop
3535,ponder,denopr
3536,pool,lop
3537,poor,opr
3538,pop,op
3539,pope,eop
3540,popular,alopru
3541,population,ailnoptu
3542,porcelain,aceilnopr
3543,porch,chopr
3544,pork,kopr
3545,port,oprt
3546,portable,abeloprt
3547,porter,eoprt
3548,portion,inoprt
3549,portrait,aioprt
3550,portray,aoprty
3551,pose,eops
3552,position,inopst
3553,positive,eiopstv
3554,possess,eops
3555,possession,einops
3556,possibility,bilopsty
3557,possible,beilops
3558,possibly,bilopsy
3559,post,opst
3560,postage,aegopst
3561,postcard,acdoprst
3562,poster,eoprst
3563,postman,amnopst
3564,postpone,enopst
3565,posture,eoprstu
3566,pot,opt
3567,potato,aopt
3568,potential,aeilnopt
3569,poultry,loprtuy
3570,pound,dnopu
3571,pour,opru
3572,poverty,eoprtvy
3573,powder,deoprw
3574,power,eoprw
3575,powerful,eflopruw
3576,practical,acilprt
3577,practically,acilprty
3578,practice,aceiprt
3579,practise,aceiprst
3580,practitioner,aceinoprt
3581,praise,aeiprs
3582,pray,apry
3583,prayer,aepry
3584,preach,acehpr
3585,precaution,aceinoprtu
3586,precede,cdepr
3587,precedent,cdenprt
3588,preceding,cdeginpr
3589,precious,ceioprsu
3590,precise,ceiprs
3591,precision,ceinoprs
3592,preclude,cdelpru
3593,predecessor,cdeoprs
3594,predict,cdeiprt
3595,predominant,adeimnoprt
3596,preface,acefpr
3597,prefer,efpr
3598,preferable,abeflpr
3599,preference,cefnpr
3600,pregnant,aegnprt
3601,prejudice,cdeijpru
3602,preliminary,aeilmnpry
3603,premier,eimpr
3604,premise,eimprs
3605,premium,eimpru
3606,preparation,aeinoprt
3607,prepare,aepr
3608,preposition,einoprst
